lonCRTN;latCRTN;lon;lat
N01098494;E0489052;9.934429729185029;-84.09984428422544
N01098493;E0489053;9.934420690027892;-84.09983516158849
N01098518;E00489037;9.934646693454654;-84.09998114861762
N01098486;E00489030;9.934357334096662;-84.10004489972147
N01098502;E00489018;9.934501971427183;-84.10015438247639
N01098712;E00489057;9.93640087313839;-84.099799283915
N01098688;E00489126;9.936184055409774;-84.09916994232172
N01098794;E00489200;9.93714269459555;-84.09849535455784
N01098801;E00489074;9.937205646884873;-84.09964448914658
N01102960;E00489074;9.974810789080221;-84.09965592640208
N01102932;E00489880;9.974559737546484;-84.0923043209736
N01102930;E00489877;9.974541646227621;-84.09233167887824
N01102929;E00489870;9.974532586639619;-84.09239552334624
N01102845;E00489899;9.973773143468845;-84.0921308002437
N01102881;E00489809;9.97409842223544;-84.092951781146
N01102815;E00489662;9.973501282013773;-84.09429239469084
N01102813;E00489656;9.973483182775466;-84.09434711531662
N01102873;E00489747;9.974025928869885;-84.09351726188488
N01102838;E00489752;9.97370947647322;-84.09347156647821
N01102848;E00489758;9.97379991047449;-84.09341686643018
N01102814;E00489789;9.973492566382316;-84.09313402841417
N01098896;E00478813;9.938023626315935;-84.19322477307458
N01099044;E00478685;9.939361142326131;-84.19439291803202
N01099093;E00478650;9.939804006807963;-84.19471238003109
N01098759;E00478853;9.936785104367841;-84.192859248298
N01099013;E00478680;9.939080818721221;-84.19443835212606
N01099009;E00478685;9.93904467786922;-84.19439273084397
N01099005;E00478714;9.939008664164598;-84.19412823014804
N01099001;E00478736;9.93897261322866;-84.19392756933232
N01098969;E00478851;9.938683880927016;-84.19287860234925
N01098815;E00478887;9.937291626294614;-84.1925494677794
N01098759;E00478943;9.936785576705304;-84.19203845591576
N01098766;E00478442;9.936846214683086;-84.1966075708406
N01098932;E00478804;9.93834908521539;-84.19330704405994
N01098931;E00478809;9.938340069731506;-84.19326143895209
N01098932;E00478813;9.938349132656784;-84.19322496443573
N01098932;E00478818;9.938349159004423;-84.19317936464434
N01098927;E00478856;9.938304149828852;-84.19283277970109
N01098943;E00478839;9.938448729867638;-84.1929879039202
N01098872;E00478824;9.937806680038571;-84.19312432612824
N/D;N/D;N/D;N/D
